No.,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
473509,MIRT762502,hsa-miR-130b-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
13867,MIRT021233,hsa-miR-146a-5p,Homo sapiens,IFITM1,8519,Homo sapiens,Microarray,Functional MTI (Weak),18057241
107482,MIRT452106,hsa-miR-147a,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
474666,MIRT763645,hsa-miR-19a-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
474671,MIRT763650,hsa-miR-19b-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
474891,MIRT763864,hsa-miR-216a-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
475199,MIRT764172,hsa-miR-25-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
475438,MIRT764408,hsa-miR-301a-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
475456,MIRT764426,hsa-miR-301b-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
476626,MIRT765587,hsa-miR-32-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
11013,MIRT018732,hsa-miR-335-5p,Homo sapiens,IFITM1,8519,Homo sapiens,Microarray,Functional MTI (Weak),18185580
477233,MIRT766192,hsa-miR-363-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
107489,MIRT452113,hsa-miR-3650,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
477588,MIRT766546,hsa-miR-3666,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
477677,MIRT766631,hsa-miR-367-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
477794,MIRT766748,hsa-miR-3681-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
107486,MIRT452110,hsa-miR-3911,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107491,MIRT452115,hsa-miR-3934-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
479519,MIRT768460,hsa-miR-4295,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
107492,MIRT452116,hsa-miR-4524b-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
481322,MIRT770242,hsa-miR-454-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
107490,MIRT452114,hsa-miR-503-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
484160,MIRT773052,hsa-miR-504-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
484704,MIRT773587,hsa-miR-518a-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
485047,MIRT773929,hsa-miR-527,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
107495,MIRT452119,hsa-miR-548av-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107494,MIRT452118,hsa-miR-548g-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107493,MIRT452117,hsa-miR-552-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107485,MIRT452109,hsa-miR-644a,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107488,MIRT452112,hsa-miR-6748-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107483,MIRT452107,hsa-miR-6759-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107487,MIRT452111,hsa-miR-6793-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
107484,MIRT452108,hsa-miR-6867-5p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
493905,MIRT782683,hsa-miR-92a-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
493944,MIRT782722,hsa-miR-92b-3p,Homo sapiens,IFITM1,8519,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
12129,MIRT019786,hsa-miR-375,Homo sapiens,IFT80,57560,Homo sapiens,Microarray,Functional MTI (Weak),20215506
69479,MIRT170951,hsa-miR-19a-3p,Homo sapiens,IKZF1,10320,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
69480,MIRT170952,hsa-miR-19b-3p,Homo sapiens,IKZF1,10320,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
23573,MIRT029793,hsa-miR-26b-5p,Homo sapiens,IKZF1,10320,Homo sapiens,Microarray,Functional MTI (Weak),19088304
443734,MIRT735193,hsa-miR-92a-3p,Homo sapiens,IKZF1,10320,Homo sapiens,ELISA//Flow//Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25881561
22912,MIRT029172,hsa-miR-26b-5p,Homo sapiens,IL1RL1,9173,Homo sapiens,Microarray,Functional MTI (Weak),19088304
5800,MIRT005420,hsa-let-7a-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19878981
92005,MIRT438050,hsa-let-7c-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//ELISA,Functional MTI,23977098
441082,MIRT731223,hsa-let-7f-5p,Homo sapiens,IL6,3569,Homo sapiens,ELISA//Luciferase reporter assay,Functional MTI,26810534
442940,MIRT734163,hsa-miR-106a-5p,Homo sapiens,IL6,3569,Homo sapiens,qRT-PCR,Functional MTI (Weak),25950430
46725,MIRT054777,hsa-miR-107,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot//Coimmunoprecipitation//Chromatin immunoprecipitation//Immunofluorescence microscopy,Functional MTI,24429361
14895,MIRT022183,hsa-miR-124-3p,Homo sapiens,IL6,3569,Homo sapiens,Microarray,Functional MTI (Weak),18668037
442323,MIRT733375,hsa-miR-125a-3p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26563755
443502,MIRT734880,hsa-miR-136-5p,Homo sapiens,IL6,3569,Homo sapiens,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26450567
16283,MIRT023501,hsa-miR-1-3p,Homo sapiens,IL6,3569,Homo sapiens,Microarray,Functional MTI (Weak),18668037
7402,MIRT006790,hsa-miR-142-3p,Homo sapiens,IL6,3569,Homo sapiens,ELISA//Immunoblot//Microarray//qRT-PCR,Functional MTI (Weak),21474672
441656,MIRT732454,hsa-miR-146a-5p,Homo sapiens,IL6,3569,Homo sapiens,Microarray//Luciferase reporter assay//,Functional MTI,25265569
441084,MIRT731232,hsa-miR-146b-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26338965
92278,MIRT438344,hsa-miR-149-5p,Homo sapiens,IL6,3569,Homo sapiens,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25916550
13656,MIRT021049,hsa-miR-155-5p,Homo sapiens,IL6,3569,Homo sapiens,Proteomics,Functional MTI (Weak),20584899
13657,MIRT021049,hsa-miR-155-5p,Homo sapiens,IL6,3569,Homo sapiens,Proteomics,Functional MTI (Weak),18668040
6471,MIRT006061,hsa-miR-203a-3p,Homo sapiens,IL6,3569,Homo sapiens,ELISA//qRT-PCR,Functional MTI (Weak),21279994
92221,MIRT438284,hsa-miR-223-3p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay,Functional MTI,24084739
8205,MIRT007374,hsa-miR-26a-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay,Functional MTI,23389848
9214,MIRT016949,hsa-miR-335-5p,Homo sapiens,IL6,3569,Homo sapiens,Microarray,Functional MTI (Weak),18185580
12425,MIRT020073,hsa-miR-365a-3p,Homo sapiens,IL6,3569,Homo sapiens,Reporter assay,Functional MTI,21518763
443932,MIRT735462,hsa-miR-451a,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27461244
441139,MIRT731346,hsa-miR-9-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay,Functional MTI,25809226
20642,MIRT027449,hsa-miR-98-5p,Homo sapiens,IL6,3569,Homo sapiens,Microarray,Functional MTI (Weak),19088304
20643,MIRT027449,hsa-miR-98-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26367177
20644,MIRT027449,hsa-miR-98-5p,Homo sapiens,IL6,3569,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26587789
15361,MIRT022642,hsa-miR-124-3p,Homo sapiens,IMPACT,55364,Homo sapiens,Microarray,Functional MTI (Weak),18668037
472939,MIRT761946,hsa-miR-1273g-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
475937,MIRT764904,hsa-miR-3135a,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
479058,MIRT768003,hsa-miR-4252,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
483491,MIRT772392,hsa-miR-4793-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
484265,MIRT773156,hsa-miR-508-5p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
485083,MIRT773964,hsa-miR-542-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
487646,MIRT776501,hsa-miR-6501-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
488056,MIRT776908,hsa-miR-6512-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
488910,MIRT777754,hsa-miR-6720-5p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
490664,MIRT779484,hsa-miR-6800-5p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
491480,MIRT780295,hsa-miR-6849-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
493067,MIRT781864,hsa-miR-766-3p,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
493220,MIRT782013,hsa-miR-7703,Homo sapiens,IMPACT,55364,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
11103,MIRT018821,hsa-miR-335-5p,Homo sapiens,INHBB,3625,Homo sapiens,Microarray,Functional MTI (Weak),18185580
46481,MIRT054468,hsa-miR-34a-5p,Homo sapiens,INHBB,3625,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24446339
20464,MIRT027306,hsa-miR-101-3p,Homo sapiens,INO80D,54891,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
20465,MIRT027306,hsa-miR-101-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
27602,MIRT036300,hsa-miR-1229-3p,Homo sapiens,INO80D,54891,Homo sapiens,CLASH,Functional MTI (Weak),23622248
295116,MIRT567153,hsa-miR-124-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
295113,MIRT567150,hsa-miR-1277-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
37484,MIRT045886,hsa-miR-128-3p,Homo sapiens,INO80D,54891,Homo sapiens,CLASH,Functional MTI (Weak),23622248
347325,MIRT640086,hsa-miR-1305,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
295109,MIRT567146,hsa-miR-135a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
365162,MIRT657176,hsa-miR-141-5p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
283687,MIRT556936,hsa-miR-144-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
283688,MIRT556936,hsa-miR-144-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
74145,MIRT204990,hsa-miR-153-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
43167,MIRT051164,hsa-miR-16-5p,Homo sapiens,INO80D,54891,Homo sapiens,CLASH,Functional MTI (Weak),23622248
440042,MIRT727450,hsa-miR-181a-5p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
440041,MIRT727449,hsa-miR-181b-5p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
440040,MIRT727448,hsa-miR-181c-5p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
440038,MIRT727446,hsa-miR-181d-5p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
186688,MIRT498439,hsa-miR-186-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
186695,MIRT498446,hsa-miR-193a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
186696,MIRT498447,hsa-miR-193b-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
347330,MIRT640091,hsa-miR-200b-3p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
347329,MIRT640090,hsa-miR-200c-3p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
186689,MIRT498440,hsa-miR-2114-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
287598,MIRT560134,hsa-miR-2681-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
22456,MIRT028742,hsa-miR-27a-3p,Homo sapiens,INO80D,54891,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
256682,MIRT536641,hsa-miR-302a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256681,MIRT536640,hsa-miR-302b-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256680,MIRT536639,hsa-miR-302c-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256679,MIRT536638,hsa-miR-302d-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256678,MIRT536637,hsa-miR-302e,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
186693,MIRT498444,hsa-miR-3121-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
186694,MIRT498445,hsa-miR-3133,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
186687,MIRT498438,hsa-miR-3176,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
36086,MIRT044540,hsa-miR-320a,Homo sapiens,INO80D,54891,Homo sapiens,CLASH,Functional MTI (Weak),23622248
283685,MIRT556935,hsa-miR-323a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
283686,MIRT556935,hsa-miR-323a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
295112,MIRT567149,hsa-miR-338-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
83806,MIRT300229,hsa-miR-340-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
35220,MIRT043718,hsa-miR-342-3p,Homo sapiens,INO80D,54891,Homo sapiens,CLASH,Functional MTI (Weak),23622248
347326,MIRT640087,hsa-miR-369-3p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
256677,MIRT536636,hsa-miR-372-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256676,MIRT536635,hsa-miR-373-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
186686,MIRT498437,hsa-miR-3922-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
90298,MIRT395599,hsa-miR-4275,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
347328,MIRT640089,hsa-miR-429,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
295114,MIRT567151,hsa-miR-4484,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
186691,MIRT498442,hsa-miR-4511,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
347327,MIRT640088,hsa-miR-5003-3p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
256685,MIRT536644,hsa-miR-519a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256684,MIRT536643,hsa-miR-519b-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256683,MIRT536642,hsa-miR-519c-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256675,MIRT536634,hsa-miR-520a-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256674,MIRT536633,hsa-miR-520b,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256673,MIRT536632,hsa-miR-520c-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256672,MIRT536631,hsa-miR-520d-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
256671,MIRT536630,hsa-miR-520e,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
295115,MIRT567152,hsa-miR-548an,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
295111,MIRT567148,hsa-miR-5582-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
186690,MIRT498441,hsa-miR-5588-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
186692,MIRT498443,hsa-miR-582-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
283681,MIRT556933,hsa-miR-582-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
283682,MIRT556933,hsa-miR-582-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
283683,MIRT556934,hsa-miR-6504-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
283684,MIRT556934,hsa-miR-6504-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
295110,MIRT567147,hsa-miR-6757-5p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
83807,MIRT300236,hsa-miR-6768-3p,Homo sapiens,INO80D,54891,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
365163,MIRT657177,hsa-miR-7153-3p,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
74146,MIRT205024,hsa-miR-8084,Homo sapiens,INO80D,54891,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
27392,MIRT036092,hsa-miR-1296-5p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
89276,MIRT368861,hsa-miR-141-3p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
238851,MIRT522966,hsa-miR-147a,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
43157,MIRT051154,hsa-miR-16-5p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
65759,MIRT137301,hsa-miR-181a-5p,Homo sapiens,IPO5,3843,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
65760,MIRT137302,hsa-miR-181b-5p,Homo sapiens,IPO5,3843,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
65761,MIRT137304,hsa-miR-181c-5p,Homo sapiens,IPO5,3843,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
65762,MIRT137311,hsa-miR-181d-5p,Homo sapiens,IPO5,3843,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
39945,MIRT048251,hsa-miR-196a-5p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
89277,MIRT368862,hsa-miR-200a-3p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
94140,MIRT440438,hsa-miR-218-5p,Homo sapiens,IPO5,3843,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23212916
38239,MIRT046603,hsa-miR-222-3p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
238852,MIRT522967,hsa-miR-2467-3p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
34680,MIRT043188,hsa-miR-324-5p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
87394,MIRT340971,hsa-miR-3678-3p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
33250,MIRT041786,hsa-miR-484,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
87395,MIRT340975,hsa-miR-5010-3p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
87396,MIRT340976,hsa-miR-6501-3p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
87397,MIRT340977,hsa-miR-6818-5p,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
238853,MIRT522968,hsa-miR-8485,Homo sapiens,IPO5,3843,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
28159,MIRT036844,hsa-miR-877-3p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
41279,MIRT049490,hsa-miR-92a-3p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
40555,MIRT048827,hsa-miR-93-5p,Homo sapiens,IPO5,3843,Homo sapiens,CLASH,Functional MTI (Weak),23622248
415283,MIRT702711,hsa-let-7a-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415281,MIRT702709,hsa-let-7b-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415285,MIRT702713,hsa-let-7c-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415286,MIRT702714,hsa-let-7d-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415287,MIRT702715,hsa-let-7e-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415284,MIRT702712,hsa-let-7f-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415280,MIRT702708,hsa-let-7g-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415279,MIRT702707,hsa-let-7i-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
415271,MIRT702699,hsa-miR-1294,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
328591,MIRT623587,hsa-miR-1303,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
16856,MIRT024036,hsa-miR-1-3p,Homo sapiens,IPO9,55705,Homo sapiens,Proteomics,Functional MTI (Weak),18668040
328594,MIRT623590,hsa-miR-193b-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
328592,MIRT623588,hsa-miR-197-3p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
415273,MIRT702701,hsa-miR-202-3p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
238850,MIRT522965,hsa-miR-302a-3p,Homo sapiens,IPO9,55705,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
238849,MIRT522964,hsa-miR-302b-3p,Homo sapiens,IPO9,55705,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
238848,MIRT522963,hsa-miR-302c-3p,Homo sapiens,IPO9,55705,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
238847,MIRT522962,hsa-miR-302d-3p,Homo sapiens,IPO9,55705,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
238846,MIRT522961,hsa-miR-302e,Homo sapiens,IPO9,55705,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
39606,MIRT047925,hsa-miR-30c-5p,Homo sapiens,IPO9,55705,Homo sapiens,CLASH,Functional MTI (Weak),23622248
376891,MIRT667836,hsa-miR-3117-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
328604,MIRT623600,hsa-miR-3120-5p,Homo sapiens,IPO9,55705,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
238836,MIRT522951,hsa-miR-3159,Homo sapiens,IPO9,55705,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
